year,month,season,label,media,campaign,install,first_purchase,spend,cpi,cpa,cvr
2022,5,season,fp,카카오모먼트,220415_카카오비즈보드(방문_2539),891,179,14064501,15785.074074074075,78572.6312849162,0.20089786756453423
2022,5,season,fp,크리테오,App CAM_1st purchase_AOS,3,386,9471182,3157060.6666666665,24536.740932642486,128.66666666666666
2022,5,season,fp,크리테오,App CAM_1st purchase_iOS,4,93,3296351,824087.75,35444.63440860215,23.25
2022,5,season,fp,페이스북,fb_conversion_visit_catalog_2201_daba,1506,2981,129000970,85658.01460823373,43274.39449849044,1.9794156706507304
2022,5,season,fp,페이스북,fb_conversion_visit_catalog_2204_daba_2540ua,418,189,31774910,76016.53110047847,168121.21693121694,0.45215311004784686
2022,5,season,fp,페이스북,fb_traffic_pmkt_2205_2540_AOS,203,44,11352130,55921.82266009852,258002.95454545456,0.21674876847290642
2022,5,season,fp,페이스북,fb_traffic_pmkt_2205_2540_IOS,122,56,13564162,111181.65573770492,242217.17857142858,0.45901639344262296
2022,6,non_season,fp,moweb_디스커버리,220411_29CM_branding_discovery,1,1,0,0.0,0.0,1.0
2022,6,non_season,fp,몰로코,29cm_a_re_kor_newpurchase,0,0,0,,,
2022,6,non_season,fp,카카오모먼트,220106_카카오비즈보드(방문_앱),2945,451,22945065,7791.193548387097,50875.9756097561,0.1531409168081494
2022,6,non_season,fp,카카오모먼트,220415_카카오비즈보드(방문_2539),2259,323,23092729,10222.54493138557,71494.51702786378,0.14298362107127047
2022,6,non_season,fp,크리테오,App CAM_1st purchase_AOS,3,129,2238246,746082.0,17350.74418604651,43.0
2022,6,non_season,fp,크리테오,App CAM_1st purchase_iOS,1,20,769854,769854.0,38492.7,20.0
2022,6,non_season,fp,페이스북,fb_conversion_visit_catalog_2201_daba,1715,3762,178821775,104269.25655976677,47533.698830409354,2.1935860058309036
2022,6,non_season,fp,페이스북,fb_traffic_pmkt_2205_2540_AOS,409,70,17716497,43316.61858190709,253092.8142857143,0.17114914425427874
2022,6,non_season,fp,페이스북,fb_traffic_pmkt_2205_2540_IOS,239,85,17704630,74077.94979079498,208289.76470588235,0.35564853556485354
2022,7,non_season,fp,카카오모먼트,220106_카카오비즈보드(방문_앱),10144,1101,62473917,6158.706328864353,56742.885558583104,0.10853706624605679
2022,7,non_season,fp,카카오모먼트,220415_카카오비즈보드(방문_2539),4355,442,43429166,9972.253960964408,98256.03167420815,0.10149253731343283
2022,7,non_season,fp,페이스북,fb_conversion_visit_catalog_2201_daba,1245,2856,116380202,93478.07389558233,40749.370448179274,2.293975903614458
2022,7,non_season,fp,페이스북,fb_traffic_pmkt_2205_2540_AOS,1,0,0,0.0,,0.0
2022,7,non_season,fp,페이스북,fb_traffic_pmkt_2205_2540_IOS,0,1,0,,0.0,inf
2022,8,non_season,fp,카카오모먼트,220106_카카오비즈보드(방문_앱),12717,1669,96227373,7566.829676810568,57655.705811863394,0.13124164504206967
2022,8,non_season,fp,카카오모먼트,220415_카카오비즈보드(방문_2539),2426,323,29462598,12144.516900247321,91215.47368421052,0.13314097279472384
2022,8,non_season,fp,페이스북,fb_conversion_visit_catalog_2201_daba,1680,2296,83904010,49942.86309523809,36543.55836236934,1.3666666666666667
2022,9,season,fp,카카오모먼트,220106_카카오비즈보드(방문_앱),18292,2892,173187971,9467.962551935272,59885.19052558783,0.1581019024710256
2022,9,season,fp,카카오모먼트,220415_카카오비즈보드(방문_2539),135,22,7483729,55435.02962962963,340169.5,0.16296296296296298
2022,9,season,fp,카카오모먼트,220913_카카오비즈보드(전환_회원가입_앱),2613,334,23289926,8913.098354381937,69730.31736526947,0.12782242632988902
2022,9,season,fp,카카오모먼트,220930_카카오비즈보드(전환_회원가입_앱_2539),34,2,1003266,29507.823529411766,501633.0,0.058823529411764705
2022,9,season,fp,페이스북,fb_app_install_purchase_AAA_aos_2209,1774,55,3769461,2124.837091319053,68535.65454545454,0.03100338218714769
2022,9,season,fp,페이스북,fb_app_install_purchase_AAA_ios_2209,3199,57,3795589,1186.492341356674,66589.28070175438,0.017818068146295718
2022,9,season,fp,페이스북,fb_conversion_visit_catalog_2201_daba,2391,2921,121480005,50807.19573400251,41588.49880178021,1.2216645754914262
