,date,label,media,campaign,spend,imp,install,CPI,first_purchase,cpa,binned
566,2022.3.28,인스톨,페이스북,fb_app_install_catalog_ios_2201,1536468,156848,667,2304,12,128039,"(455.0, 910.0]"
576,2022.3.29,인스톨,페이스북,fb_app_install_catalog_aos_2201,1992884,113116,1269,1570,27,73811,"(910.0, 1365.0]"
577,2022.3.29,인스톨,페이스북,fb_app_install_catalog_ios_2201,1510577,174959,609,2480,16,94411,"(455.0, 910.0]"
587,2022.3.30,인스톨,페이스북,fb_app_install_catalog_aos_2201,1994400,119395,1384,1441,20,99720,"(1365.0, 1820.0]"
588,2022.3.30,인스톨,페이스북,fb_app_install_catalog_ios_2201,1516659,166945,575,2638,5,303332,"(455.0, 910.0]"
598,2022.3.31,인스톨,페이스북,fb_app_install_catalog_aos_2201,1972923,110657,1151,1714,18,109607,"(910.0, 1365.0]"
599,2022.3.31,인스톨,페이스북,fb_app_install_catalog_ios_2201,1497563,166139,545,2748,0,0,"(455.0, 910.0]"
610,2022.4.1,인스톨,페이스북,fb_app_install_catalog_aos_2201,870344,65096,689,1263,18,48352,"(455.0, 910.0]"
611,2022.4.1,인스톨,페이스북,fb_app_install_catalog_ios_2201,1177507,170944,505,2332,13,90577,"(455.0, 910.0]"
620,2022.4.2,인스톨,페이스북,fb_app_install_catalog_aos_2201,823650,65576,671,1227,32,25739,"(455.0, 910.0]"
621,2022.4.2,인스톨,페이스북,fb_app_install_catalog_ios_2201,1242298,187580,508,2445,3,414099,"(455.0, 910.0]"
631,2022.4.3,인스톨,페이스북,fb_app_install_catalog_aos_2201,825833,64680,735,1124,30,27528,"(455.0, 910.0]"
632,2022.4.3,인스톨,페이스북,fb_app_install_catalog_ios_2201,1240689,203953,584,2124,8,155086,"(455.0, 910.0]"
642,2022.4.4,인스톨,페이스북,fb_app_install_catalog_aos_2201,805840,59974,606,1330,28,28780,"(455.0, 910.0]"
643,2022.4.4,인스톨,페이스북,fb_app_install_catalog_ios_2201,1210326,210876,699,1732,9,134481,"(455.0, 910.0]"
654,2022.4.5,인스톨,페이스북,fb_app_install_catalog_aos_2201,792655,57877,635,1248,22,36030,"(455.0, 910.0]"
655,2022.4.5,인스톨,페이스북,fb_app_install_catalog_ios_2201,1192315,197301,629,1896,11,108392,"(455.0, 910.0]"
665,2022.4.6,인스톨,페이스북,fb_app_install_catalog_aos_2201,794178,59223,634,1253,28,28363,"(455.0, 910.0]"
666,2022.4.6,인스톨,페이스북,fb_app_install_catalog_ios_2201,1191899,247903,636,1874,16,74494,"(455.0, 910.0]"
677,2022.4.7,인스톨,페이스북,fb_app_install_catalog_aos_2201,789108,61025,660,1196,31,25455,"(455.0, 910.0]"
678,2022.4.7,인스톨,페이스북,fb_app_install_catalog_ios_2201,1182118,211742,800,1478,19,62217,"(455.0, 910.0]"
690,2022.4.8,인스톨,페이스북,fb_app_install_catalog_aos_2201,721344,56838,640,1127,26,27744,"(455.0, 910.0]"
691,2022.4.8,인스톨,페이스북,fb_app_install_catalog_ios_2201,1174118,236324,731,1606,23,51049,"(455.0, 910.0]"
692,2022.4.8,인스톨,페이스북,fb_app_install_static_aos_2202,51189,5195,0,0,0,0,
703,2022.4.9,인스톨,페이스북,fb_app_install_catalog_aos_2201,663404,57593,613,1082,29,22876,"(455.0, 910.0]"
704,2022.4.9,인스톨,페이스북,fb_app_install_catalog_ios_2201,1208531,247880,820,1474,21,57549,"(455.0, 910.0]"
705,2022.4.9,인스톨,페이스북,fb_app_install_static_aos_2202,73897,5045,0,0,0,0,
716,2022.4.10,인스톨,페이스북,fb_app_install_catalog_aos_2201,750773,70855,657,1143,24,31282,"(455.0, 910.0]"
